"No.","Time","Source","Destination","Protocol","Length","Info"
"965","1.153418","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"966","1.153424","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"967","1.153428","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"968","1.153447","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"969","1.153452","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"970","1.154959","192.168.0.7","183.87.151.14","UDP","90","53289  >  443 Len=48"
"971","1.155440","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"972","1.155441","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"973","1.156378","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"974","1.156381","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"975","1.156527","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=19041 Win=260 Len=0"
"976","1.156810","192.168.0.7","183.87.151.14","UDP","84","53289  >  443 Len=42"
"977","1.157064","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"978","1.159569","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"979","1.159572","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"980","1.159577","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"981","1.159579","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"982","1.159580","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"983","1.160150","192.168.0.7","183.87.151.14","UDP","93","53289  >  443 Len=51"
"984","1.160439","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"985","1.160440","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"986","1.161900","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"987","1.162121","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"988","1.162123","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"989","1.162124","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"990","1.164880","192.168.0.7","183.87.151.14","UDP","84","53289  >  443 Len=42"
"991","1.165064","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"992","1.165066","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"993","1.165066","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"994","1.165068","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"995","1.165069","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"996","1.165456","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"997","1.166869","192.168.0.7","183.87.151.14","UDP","93","53289  >  443 Len=51"
"998","1.167072","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"999","1.167073","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1000","1.167074","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1001","1.168500","192.168.0.7","183.87.151.14","UDP","84","53289  >  443 Len=42"
"1002","1.168706","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1003","1.168707","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1004","1.168708","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1005","1.169843","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1006","1.169845","172.217.166.174","192.168.0.7","TCP","1414","443  >  1634 [ACK] Seq=19041 Ack=1 Win=246 Len=1360"
"1007","1.169846","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1008","1.169867","192.168.0.7","183.87.151.14","UDP","84","53289  >  443 Len=42"
"1009","1.171894","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"1010","1.172061","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1011","1.172062","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1012","1.172063","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1013","1.173214","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1014","1.173215","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1015","1.173216","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1016","1.173479","192.168.0.7","183.87.151.14","UDP","93","53289  >  443 Len=51"
"1017","1.173742","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1018","1.174261","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1019","1.174856","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"1020","1.176950","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1021","1.176953","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1022","1.176956","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1023","1.178128","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1024","1.178129","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1025","1.178345","192.168.0.7","183.87.151.14","UDP","90","53289  >  443 Len=48"
"1026","1.178860","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1027","1.179582","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1028","1.181165","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1029","1.181165","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1030","1.181383","192.168.0.7","183.87.151.14","UDP","87","53289  >  443 Len=45"
"1031","1.184616","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1032","1.186858","192.168.0.7","183.87.151.14","UDP","91","53289  >  443 Len=49"
"1033","1.187046","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1034","1.187047","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1035","1.187049","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1036","1.187050","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1037","1.187602","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1038","1.189865","192.168.0.7","183.87.151.14","UDP","90","53289  >  443 Len=48"
"1039","1.189996","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1040","1.189998","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1041","1.190002","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1042","1.190002","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1043","1.190003","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1044","1.190748","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1045","1.191147","192.168.0.7","183.87.151.14","UDP","93","53289  >  443 Len=51"
"1046","1.191240","183.87.151.14","192.168.0.7","UDP","65","443  >  53289 Len=23"
"1047","1.192485","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1048","1.193849","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"1049","1.193931","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1050","1.193933","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1051","1.195416","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1052","1.195416","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"1053","1.196857","192.168.0.7","183.87.151.14","UDP","78","53289  >  443 Len=36"
"1054","1.210008","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=20401 Win=260 Len=0"
"1055","1.428052","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1056","1.429823","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1057","1.429825","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1058","1.429825","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1059","1.430030","192.168.0.7","183.87.151.14","UDP","87","53289  >  443 Len=45"
"1060","1.431121","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1061","1.431121","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1062","1.431122","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1063","1.431124","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1064","1.431125","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1065","1.431126","183.87.151.14","192.168.0.7","UDP","478","443  >  53289 Len=436"
"1066","1.433273","192.168.0.7","183.87.151.14","UDP","93","53289  >  443 Len=51"
"1067","1.433282","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1068","1.433284","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1069","1.433285","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1070","1.433289","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1071","1.433289","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1072","1.434892","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"1073","1.435847","172.217.166.174","192.168.0.7","SSL","1414","[TCP Previous segment not captured] , Continuation Data"
"1074","1.435945","192.168.0.7","172.217.166.174","TCP","66","1634  >  443 [ACK] Seq=1 Ack=24481 Win=260 Len=0 SLE=25841 SRE=27201"
"1075","1.436119","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"1076","1.439216","192.168.0.7","183.87.151.14","UDP","78","53289  >  443 Len=36"
"1077","1.609703","172.217.166.174","192.168.0.7","SSL","1414","[TCP Previous segment not captured] , Continuation Data"
"1078","1.609765","192.168.0.7","172.217.166.174","TCP","74","[TCP Dup ACK 1074#1] 1634  >  443 [ACK] Seq=1 Ack=24481 Win=260 Len=0 SLE=29921 SRE=31281 SLE=25841 SRE=27201"
"1079","1.640966","172.217.166.174","192.168.0.7","TCP","1414","[TCP Retransmission] 443  >  1634 [ACK] Seq=24481 Ack=1 Win=246 Len=1360"
"1080","1.681121","192.168.0.7","172.217.166.174","TCP","66","1634  >  443 [ACK] Seq=1 Ack=27201 Win=260 Len=0 SLE=29921 SRE=31281"
"1081","1.789549","172.217.166.174","192.168.0.7","TCP","1414","[TCP Retransmission] 443  >  1634 [ACK] Seq=27201 Ack=1 Win=246 Len=1360"
"1082","1.830269","192.168.0.7","172.217.166.174","TCP","66","1634  >  443 [ACK] Seq=1 Ack=28561 Win=260 Len=0 SLE=29921 SRE=31281"
"1083","2.040421","172.217.166.174","192.168.0.7","SSL","1414","[TCP Previous segment not captured] , Continuation Data"
